iter	Passed	Remaining
349	1007	1871
350	1009	1867
351	1011	1861
352	1012	1856
353	1014	1851
354	1016	1847
355	1018	1841
356	1019	1836
357	1046	1876
358	1048	1871
359	1049	1865
360	1050	1860
361	1052	1854
362	1053	1848
363	1060	1853
364	1062	1848
365	1064	1843
366	1065	1838
367	1067	1832
368	1068	1826
369	1069	1820
370	1072	1818
371	1073	1812
372	1075	1807
373	1076	1801
374	1077	1796
375	1078	1790
376	1079	1784
377	1081	1778
378	1088	1782
379	1089	1777
380	1090	1771
381	1091	1765
382	1092	1759
383	1093	1754
384	1094	1748
385	1095	1742
386	1096	1736
387	1102	1739
388	1105	1735
389	1106	1731
390	1108	1726
391	1109	1721
392	1111	1716
393	1114	1714
394	1115	1709
395	1117	1704
396	1118	1699
397	1120	1694
398	1121	1688
399	1122	1683
400	1123	1677
401	1129	1679
402	1130	1674
403	1131	1669
404	1132	1664
405	1133	1658
406	1134	1653
407	1135	1647
408	1136	1642
409	1137	1637
410	1145	1642
411	1147	1637
412	1148	1632
413	1150	1628
414	1152	1624
415	1153	1620
416	1161	1623
417	1163	1619
418	1164	1614
419	1165	1609
420	1166	1604
421	1167	1599
422	1168	1594
423	1176	1597
424	1177	1593
425	1179	1588
426	1180	1584
427	1181	1579
428	1183	1574
429	1184	1569
430	1190	1571
431	1191	1567
432	1193	1562
433	1194	1557
434	1195	1553
435	1197	1549
436	1199	1544
437	1208	1550
438	1210	1546
439	1211	1542
440	1212	1537
